Nombre,Precio,Proveedor,MPN,EAN,Enchufes compatibles,Alto,Soporte adicional para fan
MSI MEG CoreLiquid S280,$169.72 USD,MSI,9S6-6A0431-001,4719072858230,"2066, 2011-V3, 2011, 1700, 1366, 1200, 1150,1151,1155,1156, 1150, 1151, 1155, 1156, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1",0 mm,False
MSI MEG CoreLiquid S360,$268.38 USD,MSI,9S6-6A0521-001,4719072859466,"2066, 2011-V3, 2011, 1700, 1366, 1200, 1150, 1151, 1155, 1156, AM4, AM3+, AM2+, AM2, FM2+, FM2, FM1",0 mm,False
NH-D15,$97.92 USD,Noctua,NH-D15,7967907240294,"AM4, 2011-V3, 1151, FM2, FM2+, AM3, AM3+, 1700, AM5",165 mm,True
Noctua NH-C14S - 140mm,$80.15 USD,Noctua,NH-C14S,4716123315698,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, FM1, FM2, FM2+, 1700",142 mm,True
Noctua NH-D15S 140mm,$72.5 USD,Noctua,NH-D15S,4716123315681,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, FM1, FM2, FM2+, 1700",165 mm,True
Noctua NH-D9DX i4 3U - 92mm,$58.02 USD,Noctua,NH-D9DX i4 3U,4716123315599,"1366, 2011, 2011-V3, 2066, 1700",110 mm,True
"Noctua NH-D9L 92mm SSO2 Low-profile Premium , NF-A9 PWM Fans",$54.36 USD,Noctua,NH-D9L,842431012487,"2011-0, 2011-V3, 1156,1155, 1150, AM2,AM2+,AM3, AM3+, FM1, FM2, 1700",110 mm,False
Noctua NH-L9a - 92mm,$50.04 USD,Noctua,NH-L9A,4716123314882,"AM2, AM3, AM3+, FM1, FM2, FM2+",37 mm,False
Noctua NH-L9a 92mm SSO2,$50.04 USD,Noctua,NH-L9a,842431014276,"AM2 , AM2+ , AM3 , AM3+ , FM1 , FM2",37 mm,False
Noctua NH-L9i 95mm SSO2,$36.8 USD,Noctua,NH-L9i,842431014269,"1150, 1155, 1156",37 mm,False
Noctua NH-L9x65 - 92mm,$55.31 USD,Noctua,NH-L9X65,4716123315629,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, FM1, FM2, FM2+",65 mm,False
"Noctua NH-L9x65 92 x 92 x 14mm, 92 x 92 x 25mm SSO2 Low-profile Quiet , NF-A9x14 PWM fan",$55.31 USD,Noctua,NH-L9x65,842431012517,"1150, 1155, 1156, AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, 1700",65 mm,False
Noctua NH-U12DXi4 - 120mm,$62.96 USD,Noctua,NH-U12DXi4,4716123314974,"1366, 2011, 2011-V3, 2066",125 mm,True
Noctua NH-U12S 120x120x25 ( NF-F12 PWM) SSO2-Bearing ( Self-stabilising oil-presure bearing ),$54.3 USD,Noctua,NH-U12S,842431014306,"2011, 1156,1155, 1150, AM2,AM2+,AM3, AM3+, FM1, FM2, 1700",158 mm,False
Noctua NH-U14S 140mm SSO2-Bearing (Self-stabilising oil-presure bearing),$71.3 USD,Noctua,NH-U14S,842431014313,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, FM1, FM2, FM2+, 1700",165 mm,False
Noctua NH-U9DXi4 - 92mm,$54.37 USD,Noctua,NH-U9DXi4,4716123314967,"1366, 2011, 2011-V3, 2066",125 mm,False
NZXT KRAKEN M22,$83.01 USD,NZXT,RL-KRM22-01,5060301694013,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,False
NZXT KRAKEN X42 V2,$123.31 USD,NZXT,RL-KRX42-02,5060301693740,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,False
NZXT KRAKEN X52 V2,$150.38 USD,NZXT,RL-KRX52-02,5060301693757,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,False
NZXT KRAKEN X62 V2,$143.17 USD,NZXT,RL-KRX62-02,5060301693764,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,False
NZXT KRAKEN X72,$183.79 USD,NZXT,RL-KRX72-01,5060301694037,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4, sTRX4",0 mm,False
"NZXT Kraken Z53 RGB , black",$263.0 USD,NZXT,RL-KRZ53-R1,5060301696536,"2066, 2011-V3, 1366, 1200, 1150, 1151, 1155, 1156, AM4, sTRX4, TR4",0 mm,False
NZXT KRAKEN Z73,$258.95 USD,NZXT,RL-KRZ73-01,5060301695478,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,False
"NZXT Kraken Z73 RGB , black",$339.0 USD,NZXT,RL-KRZ73-R1,5060301696550,"2066, 2011-V3, 1366, 1200, 1150, 1151, 1155, 1156, AM4, sTRX4, TR4",0 mm,False
"PH-TC12LS, Slim Low-Profile, 120mm PWM Processor cooler",$39.89 USD,Phanteks Company,PH-TC12LS_BK,886523000631,"2011,1150,1151,1155,1156,1366,775,FM1,FM2,AM3,AM2",74 mm,False
"PH-TC14S, Slim Twin Towers, 140mm PWM Processor cooler",$47.14 USD,Phanteks Company,PH-TC14S_BK,886523000617,"2011,1150,1151,1155,1156,1366,775,FM1,FM2,AM3,AM2",160 mm,False
"PHANTEKS Glacier One 240 MPH , D-RGB - black",$240.4 USD,PHANTEKS,PH-GO240MPH_DBK01,886523002178,"1700, 1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, sTRX4, TR4",0 mm,False
"PHANTEKS Glacier One 240 T30 , D-RGB - black",$204.89 USD,PHANTEKS,PH-GO240T30_DAG01,886523002123,"1200, 1150, 1151, 1155, 1156, 1366, 2011-V3, 2066, AM4, sTRX4, TR4",0 mm,False
"PHANTEKS Glacier One 280 MPH , D-RGB - black",$196.98 USD,PHANTEKS,PH-GO280MPH_DBK01,886523002147,"1700, 1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, sTRX4, TR4",0 mm,False
"PHANTEKS Glacier One 360 MPH , D-RGB - black",$145.07 USD,PHANTEKS,PH-GO360MPH_DBK01,886523002130,"1700, 1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, sTRX4, TR4",0 mm,False
Phanteks PH-TC12DX 120mm PWM,$54.4 USD,Phanteks Company,PH-TC12DX,886523000341,"1150,2011,1150,1155,1156,1366,775, FM2,FM1,AM3+,AM3,AM2+,AM2",157 mm,False
Phanteks PH-TC12DX_BK 2 x 120mm PWM,$48.05 USD,Phanteks Company,PH-TC12DX_BK,886523000365,"1150 , 2011 , 1150 , 1155 , 1156 , 1366 , 775, FM2 , FM1 , AM3+ , AM3 , AM2+ , AM2",157 mm,False
PHANTEKS PH-TC12LS mit RGB Halos - 120mm,$52.42 USD,PHANTEKS,PH-TC12LS_RGB,886523001447,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",80 mm,False
"PHANTEKS PH-TC12LS HTPC - 120mm, black",$39.89 USD,PHANTEKS,PH-TC12LS_BK,886523000631,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",75 mm,False
"PHANTEKS PH-TC14CS - 140mm, blue",$79.78 USD,PHANTEKS,PH-TC14CS_BL,886523000068,"1150, 1151, 1155, 1156, 1366, 775, AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+",138 mm,False
"PHANTEKS PH-TC14PE - 140mm, orange",$94.29 USD,PHANTEKS,PH-TC14PE_OR,886523000044,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+",171 mm,False
"PHANTEKS PH-TC14PE - 140mm, black",$79.13 USD,PHANTEKS,PH-TC14PE_BK,886523000174,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",171 mm,True
"PHANTEKS PH-TC14PE - 140mm, silver",$89.93 USD,PHANTEKS,PH-TC14PE,886523000006,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",171 mm,True
Phanteks PH-TC14PE 140mm UFB (Updraft Floating Balance),$89.93 USD,Phanteks Company,PH-TC14PE,886523000006,"1150 , 2011 , 1155 , 1156 , 1366 , 775, FM1,AM3+,AM3,AM2+,AM2",171 mm,False
Phanteks PH-TC14PE_BK 140mm UFB (Updraft Floating Balance),$79.13 USD,Phanteks Company,PH-TC14PE_BK,886523000174,"2011 , 1150,1155 , 1156 , 1366 , 775, FM1,AM3+,AM3,AM2+,AM2",171 mm,False
"PHANTEKS PH-TC14S Slim - 140mm, black",$47.14 USD,PHANTEKS,PH-TC14S_BK,886523000617,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",160 mm,True
Phononic Hex 2.0 thermoelektrischer - 92 mm,$143.58 USD,Phononic,Hex-2.0,816789020012,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, FM1, FM2, FM2+",125 mm,False
"Prolimatech Genesis ""Dual Viper Edition""",$10.84 USD,Prolimatech,CPBU-046,0,"1150, 1151, 1155, 1156, 1366, 2011, 775, AM2, AM3, AM3+, FM1, FM2",160 mm,True
"Raijintek Aidos Black, Heatpipe , PWM - 92mm",$17.02 USD,RAIJINTEK,0R100009,4715109920352,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",136 mm,False
"Raijintek Aidos Heatpipe , PWM - 92mm",$17.14 USD,RAIJINTEK,0P105246,4715109920024,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",136 mm,False
"Raijintek Themis Black, Heatpipe , PWM - 120mm",$27.2 USD,RAIJINTEK,0R100010,4715109920369,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",157 mm,False
"Raijintek Themis Evo Heatpipe , PWM - 120mm",$40.17 USD,RAIJINTEK,0P105245,4715109920017,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",165 mm,False
"Raijintek Zelos Heatpipe , PWM - 90mm",$16.6 USD,RAIJINTEK,0R100003,4715109920260,"1150, 1151, 1155, 1156, AM2, AM3, AM3+, FM1, FM2, FM2+",44 mm,False
Scythe Byakko - 92mm,$54.81 USD,Scythe,SCBYK-1000,4571225055855,"1150, 1151, 1155, 1156, 1366, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,True
Scythe Iori - 100mm,$36.41 USD,Scythe,SCIOR-1000,4571225054766,"1150, 1151, 1155, 1156, 1366, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",92 mm,False
Scythe Kabuto 3 Processor Cooler,$43.98 USD,SCYTHE,Scythe Kabuto 3 CPU Cooler,4571225055596,"775, 1150, 1151, 1155, 1156, 1366, AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, AM4",125 mm,False
Scythe SCBSK-2100 Big Shuriken 2 Rev. B,$61.14 USD,Scythe,SCBSK-2100,4571225049441,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",58 mm,False
Scythe SCMG-5100 Mugen 5 Rev.B - 120mm,$52.55 USD,Scythe,SCMG-5100,4571225056357,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+","154,5 mm",True
SILVERSTONE AR01 120mm Sleeve,$55.77 USD,Silverstone,AR01,844761009960,"FM2,FM1,AM3,AM2, 1150,2011,1366,1156,1155,775",159 mm,False
SILVERSTONE AR03 120mm Sleeve,$47.29 USD,Silverstone,AR03,844761009984,"K8 , AM2 , AM2+ , AM3 , 775 , 1150 , 1156 , 1366",159 mm,False
SILVERSTONE AR07 140mm Long life sleeve,$48.61 USD,Silverstone,AR07,844761012601,"775,1150,1151,1155,1156,1366,2011,2011-V3, AM2,AM3,FM1,FM2",163 mm,False
SILVERSTONE AR08 140mm Long life sleeve,$35.03 USD,Silverstone,AR08,844761012618,"775,1150,1151,1155,1156,1366,2011,2011-V3,AM2,AM3,FM1,FM2",134 mm,False
SilverStone Argon Series AR04 Low Profile with 80mm Fan for Socket LGA1150/1156/1155,$37.02 USD,Silverstone,AR04,844761010195,"1150,1151,1155,1156",23 mm,False
"SilverStone Argon Series AR05 Rifle Bearing with 92mm Fan for Socket LGA1155/1156/1150, AM2/AM3/FM1/FM2",$46.42 USD,Silverstone,AR05,844761011369,"1155,1156,1150, AM2,AM3,FM1,FM2",37 mm,False
"SilverStone Argon Series AR06 Rifle Bearing with 92mm Fan for Socket LGA1155/1156/1150, AM2/AM3/FM1/FM2",$65.03 USD,Silverstone,AR06,844761011376,"1155,1156,1150, AM2,AM3,FM1,FM2",58 mm,False
Silverstone Argon SST-AR11 - 92mm,$39.53 USD,Silverstone,SST-AR11,4710007225820,"1150, 1151, 1155, 1156",47 mm,False
SILVERSTONE NT07-115X 80mm,$25.0 USD,Silverstone,NT07-115X,844761010591,"1150 , 1155 , 1156",23 mm,False
SILVERSTONE NT09-115X 92mm,$24.63 USD,Silverstone,NT09-115X,844761012816,"1156,1155,1150,1151",45 mm,False
SUPERMICRO SNK-P0047P,$23.74 USD,SuperMicro,SNK-P0047P,672042093816,"X9, X10",26 mm,False
Thermaltake Engine 17 Low-Profile,$47.14 USD,Thermaltake,CL-P051-AL06SL-A,4711246872646,"1150, 1151, 1155, 1156",17 mm,False
Thermaltake Floe Riing RGB TT Premium-Edition,$108.8 USD,Thermaltake,CL-W157-PL12SW-A,4717964409263,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4",0 mm,False
Thermaltake Floe Riing RGB TT Premium-Edition,$113.75 USD,Thermaltake,CL-W167-PL14SW-A,4717964409287,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,False
Thermaltake Floe Riing RGB TT Premium-Edition,$191.49 USD,Thermaltake,CL-W158-PL12SW-A,4717964409270,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,False
Thermaltake Riing Silent 12 Blue - 120mm,$40.61 USD,Thermaltake,CL-P022-AL12BU-A,4717964404305,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+",160 mm,False
Thermaltake Riing Silent 12 Pro Blue - 120mm,$58.51 USD,Thermaltake,CL-P021-CA12BU-A,4717964405197,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",160 mm,False
Thermaltake Riing Silent 12 Pro Red - 120mm,$58.02 USD,Thermaltake,CL-P021-CA12RE-A,4717964405203,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",160 mm,False
Thermaltake Riing Silent 12 Red - 120mm,$53.25 USD,Thermaltake,CL-P022-AL12RE-A,4717964404312,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM1, AM2, AM3, AM3+, FM1, FM2, FM2+",160 mm,False
Thermaltake Water 3.0 ARGB Sync,$121.13 USD,Thermaltake,CL-W233-PL12SW-A,4711246875685,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,False
Thermaltake Water 3.0 ARGB Sync,$160.25 USD,Thermaltake,CL-W232-PL12SW-A,4711246875678,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,False
Thermaltake Water 3.0 ARGB Sync,$164.65 USD,Thermaltake,CL-W234-PL12SW-A,4711246875692,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,False
"Thermaltake Water 3.0 Riing , red - 280 mm",$116.15 USD,Thermaltake,CL-W138-PL14RE-A,4717964406323,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,False
Thermaltake Water 3.0 Riing RGB - 240 mm,$113.68 USD,Thermaltake,CL-W107-PL12SW-A,4717964403117,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4, sTRX4",0 mm,False
Thermaltake Water 3.0 Riing RGB - 280 mm,$139.56 USD,Thermaltake,CL-W138-PL14SW-A,4717964406330,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,False
Thermaltake Water 3.0 Riing RGB - 360 mm,$174.05 USD,Thermaltake,CL-W108-PL12SW-A,4717964403124,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4, sTRX4",0 mm,False
ZALMAN CNPS10X OPTIMA 120mm FSB (Fluid Shield Bearing) Shark's Fin Blade (LGA 2011 version),$30.48 USD,"Zalman Tech Co., Ltd",CNPS10X OPTIMA,823884204346,"2011 , 1150 , 1155 , 1156 , 1366 , 775, FM1 , AM3+ , AM3 , AM2+ , AM2",152 mm,False
ZALMAN CNPS2X 80mm Long Life Bearing,$21.59 USD,"Zalman Tech Co., Ltd",CNPS2X,823884205206,"1155 , 1156 , 1150 , 775, FM1 , FM2 , AM3+ , AM3 , AM2+ , AM2",27 mm,False
Zalman CNPS80F Ultra Quiet,$12.24 USD,Zalman,CNPS80F,8809213764493,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, FM1, FM2, FM2+","48,4 mm",False
Zalman CNPS8X Optima,$32.97 USD,Zalman,CNPS8X OPTIMA,8809213767371,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, FM1, FM2, FM2+","148,5 mm",False
ZALMAN CNPS8X Optima 100mm Long Life Bearing HIGH PERFORMANCE Processor COOLER,$32.97 USD,"Zalman Tech Co., Ltd",CNPS8X Optima,823884207149,"1151,1150,FM2,FM2+,940,939,754,AM2+,AM2,AM3+,AM3,FM1,775,1156,1155",149 mm,False
