Nombre,Precio,Proveedor,MPN,EAN,Tipo de RAM,Tamaño,Reloj,Tiempos,Sticks
Corsair Vengeance RGB Pro Series white,$349.78 USD,Corsair,CMW64GX4M4C3200C16W,843591082983,DDR4-3200,64 GB,3200,16-16-16-36,4
Corsair Vengeance RGB Pro Series white,$362.68 USD,Corsair,CMW64GX4M4A2666C16W,843591082945,DDR4-2666,64 GB,2666,16-18-18-36,4
Corsair Vengeance RGB Pro Series white,$381.82 USD,Corsair,CMW64GX4M8C3200C16W,843591078801,DDR4-3200,64 GB,3200,16-16-16-36,4
Corsair Vengeance RGB Pro Series white,$645.58 USD,Corsair,CMW64GX4M4K3600C18W,840006603320,DDR4-3600,64 GB,3600,18-19-19-39,4
Corsair Vengeance RGB Pro Series white,$661.0 USD,Corsair,CMW64GX4M8X3600C18W,843591099066,DDR4-3600,64 GB,3600,18-19-19-39,8
Corsair Vengeance RGB Pro SL,$49.32 USD,Corsair,CMH16GX4M2E3200C16W,840006632016,DDR4-3200,16 GB,3200,16-20-20-38,2
Corsair Vengeance RGB Pro SL,$50.77 USD,Corsair,CMH16GX4M2D3600C18,840006631989,DDR4-3600,16 GB,3600,18-22-22-42,2
Corsair Vengeance RGB Pro SL,$54.4 USD,Corsair,CMH16GX4M2E3200C16,840006632009,DDR4-3200,16 GB,3200,"15-15-15-36, 16-20-20-38",2
Corsair Vengeance RGB Pro SL,$64.54 USD,Corsair,CMH16GX4M2D3600C18W,840006631996,DDR4-3600,16 GB,3600,18-22-22-42,2
Corsair Vengeance RGB Pro SL,$78.33 USD,Corsair,CMH32GX4M2E3200C16,840006632092,DDR4-3200,32 GB,3200,16-20-20-38,2
Corsair Vengeance RGB Pro SL,$79.78 USD,Corsair,CMH32GX4M2D3600C18,840006632078,DDR4-3600,32 GB,3600,18-22-22-42,2
Corsair Vengeance RGB Pro SL,$89.93 USD,Corsair,CMH32GX4M2E3200C16W,840006632108,DDR4-3200,32 GB,3200,16-20-20-38,2
Corsair Vengeance RGB Pro SL,$97.92 USD,Corsair,CMH32GX4M2D3600C18W,840006632085,DDR4-3600,32 GB,3600,18-22-22-42,2
Corsair Vengeance RGB Pro SL,$163.2 USD,Corsair,CMH32GX4M4D3600C18,840006632146,DDR4-3600,32 GB,3600,18-22-22-42,4
Corsair Vengeance RGB Pro SL,$235.74 USD,Corsair,CMH32GX4M4E3200C16,840006632153,DDR4-3200,32 GB,3200,16-20-20-38,4
Corsair Vengeance RGB Pro SL DDR4-3200,$148.69 USD,Corsair,CMH32GX4M4E3200C16W,840006632160,DDR4-3200,32 GB,3200,16-20-20-38,4
Corsair Vengeance RGB Pro SL für AMD Ryzen,$98.64 USD,Corsair,CMH32GX4M2Z3600C18,840006632139,DDR4-3600,32 GB,3600,18-22-22-42,2
Corsair Vengeance RGB Pro SL für AMD Ryzen,$206.72 USD,Corsair,CMH32GX4M2Z3200C16,840006632122,DDR4-3200,32 GB,3200,16-20-20-38,2
Corsair Vengeance RGB RS,$66.72 USD,Corsair,CMG16GX4M2D3600C18,840006648994,DDR4-3600,16 GB,3600,18-22-22-42,2
Corsair Vengeance RGB RS,$87.04 USD,Corsair,CMG32GX4M2E3200C16,840006649038,DDR4-3200,32 GB,3200,16-20-20-38,2
Corsair Vengeance RGB RS,$112.1 USD,Corsair,CMG32GX4M2D3600C18,840006649021,DDR4-3600,32 GB,3600,18-22-22-42,2
Corsair Vengeance RGB RS,$142.89 USD,Corsair,CMG32GX4M4E3200C16,840006649069,DDR4-3200,32 GB,3200,16-20-20-38,4
Corsair Vengeance RGB RS,$184.96 USD,Corsair,CMG32GX4M4D3600C18,840006649052,DDR4-3600,32 GB,3600,18-22-22-42,4
Corsair Vengeance RGB RS,$209.79 USD,Corsair,CMG64GX4M2E3200C16,840006649083,DDR4-3200,64 GB,3200,16-20-20-38,2
Corsair Vengeance RGB RS,$239.37 USD,Corsair,CMG64GX4M2D3600C18,840006649076,DDR4-3600,64 GB,3600,18-22-22-42,2
Corsair Vengeance RGB RS,$272.01 USD,Corsair,CMG64GX4M4E3200C16,840006649090,DDR4-3200,64 GB,3200,16-20-20-38,4
Corsair Vengeance RGB RT,$67.45 USD,Corsair,CMN16GX4M2Z3600C18W,840006650515,DDR4-3600,16 GB,3600,18-22-22-42,2
Corsair Vengeance RGB RT,$68.17 USD,Corsair,CMN16GX4M2Z3200C16,840006650478,DDR4-3200,16 GB,3200,16-20-20-38,2
Corsair Vengeance RGB RT,$72.36 USD,Corsair,CMN16GX4M2Z3600C18,840006650508,DDR4-3600,16 GB,3600,18-22-22-42,2
Corsair Vengeance RGB RT,$72.53 USD,Corsair,CMN16GX4M2Z3600C16,840006650492,DDR4-3600,16 GB,3600,16-20-20-38,2
Corsair Vengeance RGB RT,$84.88 USD,Corsair,CMN16GX4M2Z3200C16W,840006650485,DDR4-3200,16 GB,3200,16-20-20-38,2
Corsair Vengeance RGB RT,$97.92 USD,Corsair,CMN16GX4M2Z4000C18,840006650522,DDR4-4000,16 GB,4000,18-22-22-42,2
Corsair Vengeance RGB RT,$105.17 USD,Corsair,CMN32GX4M2Z3600C18W,840006650591,DDR4-3600,32 GB,3600,18-22-22-42,2
Corsair Vengeance RGB RT,$105.17 USD,Corsair,CMN32GX4M2Z3600C16,840006650577,DDR4-3600,32 GB,3600,16-20-20-38,2
Corsair Vengeance RGB RT,$106.78 USD,Corsair,CMN32GX4M2Z3200C16,840006650553,DDR4-3200,32 GB,3200,16-20-20-38,2
Corsair Vengeance RGB RT,$133.46 USD,Corsair,CMN32GX4M4Z3200C16W,840006650621,DDR4-3200,32 GB,3200,16-20-20-38,4
Corsair Vengeance RGB RT,$134.19 USD,Corsair,CMN32GX4M2Z3600C18,840006650584,DDR4-3600,32 GB,3600,18-22-22-42,2
Corsair Vengeance RGB RT,$142.89 USD,Corsair,CMN32GX4M2Z3200C16W,840006650560,DDR4-3200,32 GB,3200,16-20-20-38,2
Corsair Vengeance RGB RT,$155.95 USD,Corsair,CMN32GX4M4Z3600C18W,840006650645,DDR4-3600,32 GB,3600,18-22-22-42,4
Corsair Vengeance RGB RT,$163.2 USD,Corsair,CMN32GX4M4Z3600C18,840006650638,DDR4-3600,32 GB,3600,18-22-22-42,4
Corsair Vengeance RGB RT,$166.1 USD,Corsair,CMN64GX4M2Z3600C18,840006650676,DDR4-3600,64 GB,3600,18-22-22-42,2
Corsair Vengeance RGB RT,$166.1 USD,Corsair,CMN32GX4M4Z3200C16,840006650614,DDR4-3200,32 GB,3200,16-20-20-38,4
Corsair Vengeance RGB RT,$169.38 USD,Corsair,CMN64GX4M2Z3200C16W,840006650669,DDR4-3200,64 GB,3200,16-20-20-38,2
Corsair Vengeance RGB RT,$170.27 USD,Corsair,CMN64GX4M2Z3200C16,840006650652,DDR4-3200,64 GB,3200,16-20-20-38,2
Corsair Vengeance RGB RT,$206.72 USD,Corsair,CMN32GX4M2Z4000C18,840006650607,DDR4-4000,32 GB,4000,18-22-22-42,2
Corsair Vengeance RGB RT,$221.96 USD,Corsair,CMN64GX4M4Z3600C18,840006650706,DDR4-3600,64 GB,3600,18-22-22-42,4
Corsair Vengeance RGB RT,$224.88 USD,Corsair,CMN32GX4M2Z4600C18,840006652113,DDR4-4600,32 GB,4600,18-22-22-42,2
Corsair Vengeance RGB RT,$253.87 USD,Corsair,CMN64GX4M4Z3200C16W,840006650690,DDR4-3200,64 GB,3200,16-20-20-38,4
Corsair Vengeance RGB RT,$253.87 USD,Corsair,CMN64GX4M4Z3200C16,840006650683,DDR4-3200,64 GB,3200,16-20-20-38,4
Corsair Vengeance RGB RT,$305.75 USD,Corsair,CMN128GX4M4Z3600C18,840006650461,DDR4-3600,128 GB,3600,18-22-22-42,4
Corsair Vengeance RGB RT,$692.73 USD,Corsair,CMN128GX4M4Z3200C16,840006650454,DDR4-3200,128 GB,3200,16-20-20-38,4
Corsair — 12GB Triple Channel DDR3 Memory Kit,$58.75 USD,Corsair,CMZ12GX3M3A2000C10,5052733877898,DDR3-2000,12 GB,2000,10-10-10-27,3
Corsair — 16GB Dual Channel DDR3 Memory Kit,$87.04 USD,Corsair,CMZ16GX3M2A1600C10B,4054318578733,DDR3-1600,16 GB,1600,10-10-10-27,2
Corsair — 24GB Triple Channel DDR3 Memory Kit,$120.41 USD,Corsair,CMZ24GX3M6A1600C9,843591011617,DDR3-1600,24 GB,1600,9-9-9-24,6
Corsair — 32GB Dual/Quad Channel DDR3 Memory Kit,$79.78 USD,Corsair,CMZ32GX3M4X1600C10,21111181303,DDR3-1600,32 GB,1600,10-10-10-27,4
Corsair — 4GB Dual Channel DDR3 Memory Kit,$30.46 USD,Corsair,CMZ4GX3M2A1600C9,971478058803,DDR3-1600,4 GB,1600,9-9-9-24,2
Corsair — 4GB Single Module DDR3 Memory Kit,$29.01 USD,Corsair,CMZ4GX3M1A1600C9,9154400055137,DDR3-1600,4 GB,1600,9-9-9-24,1
Corsair — 4GB Single Module DDR3 Memory Kit,$33.08 USD,Corsair,CMZ4GX3M1A1600C9B,5054565241601,DDR3-1600,4 GB,1600,9-9-9-24,1
Corsair — 64GB Quad Channel DDR3 Memory Kit,$346.62 USD,Corsair,CMZ64GX3M8A1600C9,843591024990,DDR3-1600,64 GB,1600,9-9-9-24,8
Corsair — 8GB DDR3 Memory Kit,$55.32 USD,Corsair,CMZ8GX3M1A1600C10B,5054484870548,DDR3-1600,8 GB,1600,10-10-10-27,1
Corsair — 8GB Dual Channel DDR3 Memory Kit,$50.04 USD,Corsair,CMZ8GX3M2A1600C9B,809185813852,DDR3-1600,8 GB,1600,9-9-9-24,2
Crucial Ballistix Elite series,$234.23 USD,Crucial,BLE2K8G4D40BEEAK,649528821232,DDR4-4000,16 GB,4000,18-19-19-39,2
Crucial Ballistix Elite series,$278.09 USD,Crucial,BLE4K8G4D36BEEAK,649528789600,DDR4-3600,32 GB,3600,16-18-18,4
"Crucial Ballistix Elite Series, DDR4-3000, CL15 - 8 GB Kit",$76.88 USD,Crucial,BLE2C4G4D30AEEA,649528778888,DDR4-3000,8 GB,3000,15-16-16,2
Crucial Ballistix Sport AT,$33.4 USD,Crucial,BLS8G4D26BFSTK,649528786685,DDR4-2666,8 GB,2666,16-18-18,1
Crucial Ballistix Sport AT,$44.49 USD,Crucial,BLS8G4D30CESTK,649528786784,DDR4-3000,8 GB,3000,17-19-19,1
Crucial Ballistix Sport AT,$63.83 USD,Crucial,BLS16G4D26BFST,649528786739,DDR4-2666,16 GB,2666,16-18-18,1
Crucial Ballistix Sport AT,$66.31 USD,Crucial,BLS2K8G4D26BFSTK,649528786715,DDR4-2666,16 GB,2666,16-18-18,2
Crucial Ballistix Sport AT,$77.22 USD,Crucial,BLS2K8G4D30CESTK,649528786814,DDR4-3000,16 GB,3000,17-19-19,2
Crucial Ballistix Sport AT,$126.93 USD,Crucial,BLS4K8G4D26BFSTK,649528786722,DDR4-2666,32 GB,2666,16-18-18,4
Crucial Ballistix Sport AT,$133.59 USD,Crucial,BLS2K16G4D26BFST,649528786760,DDR4-2666,32 GB,2666,16-18-18,2
Crucial Ballistix Sport AT,$148.86 USD,Crucial,BLS4K8G4D30CESTK,649528786821,DDR4-3000,32 GB,3000,17-19-19,4
Crucial Ballistix Sport AT series,$40.19 USD,Crucial,BLS8G4D32AESTK,649528789228,DDR4-3200,8 GB,3200,16-18-18,1
Crucial Ballistix Sport AT series,$80.65 USD,Crucial,BLS16G4D32AEST,649528789235,DDR4-3200,16 GB,3200,16-18-18,1
Crucial Ballistix Sport AT series,$158.88 USD,Crucial,BLS4K8G4D32AESTK,649528789259,DDR4-3200,32 GB,3200,16-18-18,4
Crucial Ballistix Sport AT series,$302.47 USD,Crucial,BLS4K16G4D32AEST,649528789273,DDR4-3200,64 GB,3200,16-18-18,4
Crucial Ballistix Sport LT Series grey,$19.22 USD,Crucial,BLS4G4D240FSB,649528771292,DDR4-2400,4 GB,2400,16-16-16,1
Crucial Ballistix Sport LT series grey,$35.99 USD,Crucial,BLS8G4D30AESBK,649528788740,DDR4-3000,8 GB,3000,15-16-16,1
Crucial Ballistix Sport LT Series grey,$39.47 USD,Crucial,BLS8G4D30BESBK,649528784650,DDR4-3000,8 GB,3000,16-18-18,1
Crucial Ballistix Sport LT series grey,$40.14 USD,Crucial,BLS8G4D32AESBK,649528789105,DDR4-3200,8 GB,3200,16-18-18,1
Crucial Ballistix Sport LT Series grey,$64.79 USD,Crucial,BLS16G4D240FSB,649528773821,DDR4-2400,16 GB,2400,16-16-16,1
Crucial Ballistix Sport LT series grey,$73.79 USD,Crucial,BLS2K8G4D30AESBK,649528788764,DDR4-3000,16 GB,3000,15-16-16,2
Crucial Ballistix Sport LT series grey,$80.38 USD,Crucial,BLS16G4D32AESB,649528789112,DDR4-3200,16 GB,3200,16-18-18,1
Crucial Ballistix Sport LT series grey,$80.54 USD,Crucial,BLS16G4D30AESB,649528788757,DDR4-3000,16 GB,3000,15-16-16,1
Crucial Ballistix Sport LT Series grey,$80.9 USD,Crucial,BLS2K8G4D30BESBK,649528784681,DDR4-3000,16 GB,3000,16-18-18,2
Crucial Ballistix Sport LT Series grey,$82.07 USD,Crucial,BLS16G4D30BESB,649528784803,DDR4-3000,16 GB,3000,16-18-18,1
Crucial Ballistix Sport LT series grey,$144.34 USD,Crucial,BLS4K8G4D30AESBK,649528788771,DDR4-3000,32 GB,3000,15-16-16,2
Crucial Ballistix Sport LT series grey,$152.18 USD,Crucial,BLS2K16G4D30AESB,649528788788,DDR4-3000,32 GB,3000,15-16-16,2
Crucial Ballistix Sport LT Series grey,$152.95 USD,Crucial,BLS2C16G4D30BESB,649528784834,DDR4-3000,32 GB,3000,16-18-18,2
Crucial Ballistix Sport LT series grey,$171.48 USD,Crucial,BLS4K8G4D32AESBK,649528789136,DDR4-3200,32 GB,3200,16-18-18,4
Crucial Ballistix Sport LT series grey,$297.4 USD,Crucial,BLS4K16G4D30AESB,649528788795,DDR4-3000,64 GB,3000,15-16-16,4
Crucial Ballistix Sport LT series grey,$302.47 USD,Crucial,BLS4K16G4D32AESB,649528789150,DDR4-3200,64 GB,3200,16-18-18,4
Crucial Ballistix Sport LT Series grey DDR4-2400,$34.81 USD,Crucial,BLS2K4G4D240FSB,649528771315,DDR4-2400,8 GB,2400,16-16-16,2
Crucial Ballistix Sport LT Series grey DDR4-2400,$36.15 USD,Crucial,BLS8G4D240FSBK,649528778130,DDR4-2400,8 GB,2400,16-16-16,1
Crucial Ballistix Sport LT Series grey DDR4-2400,$78.74 USD,Crucial,BLS4K4G4D240FSB,649528771339,DDR4-2400,16 GB,2400,16-16-16,4
"Crucial Ballistix Sport LT Series grey DDR4-2400, CL16 - 16 GB Kit",$78.74 USD,Crucial,BLS4C4G4D240FSB,649528771377,DDR4-2400,16 GB,2400,16-16-16,4
Crucial Ballistix Sport LT Series grey DDR4-2666,$67.21 USD,Crucial,BLS2K8G4D26BFSBK,649528782014,DDR4-2666,16 GB,2666,16-18-18,2
Crucial Ballistix Sport LT Series grey DDR4-2666,$68.77 USD,Crucial,BLS8G4D26BFSB,649528781673,DDR4-2666,8 GB,2666,16-18-18,1
Crucial Ballistix Sport LT Series red,$19.57 USD,Crucial,BLS4G4D240FSE,649528777225,DDR4-2400,4 GB,2400,16-16-16,1
Crucial Ballistix Sport LT Series red,$19.62 USD,Crucial,BLS4G4D26BFSE,649528781826,DDR4-2666,4 GB,2666,16-18-18,1
Crucial Ballistix Sport LT Series red,$34.09 USD,Crucial,BLS8G4D26BFSEK,649528782083,DDR4-2666,8 GB,2666,16-18-18,1
Crucial Ballistix Sport LT series red,$37.3 USD,Crucial,BLS8G4D30AESEK,649528788801,DDR4-3000,8 GB,3000,15-16-16,1
Crucial Ballistix Sport LT series red,$39.47 USD,Crucial,BLS8G4D32AESEK,649528789167,DDR4-3200,8 GB,3200,16-18-18,1
Crucial Ballistix Sport LT Series red,$40.19 USD,Crucial,BLS2K4G4D240FSE,649528777317,DDR4-2400,8 GB,2400,16-16-16,2
Crucial Ballistix Sport LT Series red,$64.91 USD,Crucial,BLS4K4G4D26BFSE,649528781864,DDR4-2666,16 GB,2666,16-18-18,4
Crucial Ballistix Sport LT Series red,$66.31 USD,Crucial,BLS16G4D240FSE,649528777249,DDR4-2400,16 GB,2400,16-16-16,1
Crucial Ballistix Sport LT Series red,$66.8 USD,Crucial,BLS2K8G4D240FSE,649528778420,DDR4-2400,16 GB,2400,16-16-16,2
Crucial Ballistix Sport LT Series red,$66.81 USD,Crucial,BLS16G4D26BFSE,649528782267,DDR4-2666,16 GB,2666,16-18-18,1
Crucial Ballistix Sport LT Series red,$71.64 USD,Crucial,BLS4K4G4D240FSE,649528777348,DDR4-2400,16 GB,2400,16-16-16,4
Crucial Ballistix Sport LT series red,$73.94 USD,Crucial,BLS16G4D30AESE,649528788818,DDR4-3000,16 GB,3000,15-16-16,1
Crucial Ballistix Sport LT series red,$76.57 USD,Crucial,BLS16G4D32AESE,649528789174,DDR4-3200,16 GB,3200,16-18-18,1
Crucial Ballistix Sport LT series red,$91.03 USD,Crucial,BLS2K8G4D30AESEK,649528788825,DDR4-3000,16 GB,3000,15-16-16,2
Crucial Ballistix Sport LT series red,$142.23 USD,Crucial,BLS4K8G4D30AESEK,649528788832,DDR4-3000,32 GB,3000,15-16-16,4
Crucial Ballistix Sport LT series red,$153.77 USD,Crucial,BLS2K16G4D30AESE,649528788849,DDR4-3000,32 GB,3000,15-16-16,2
Crucial Ballistix Sport LT series red,$160.32 USD,Crucial,BLS4K8G4D32AESEK,649528789211,DDR4-3200,32 GB,3200,16-18-18,4
Crucial Ballistix Sport LT series red,$296.0 USD,Crucial,BLS4K16G4D30AESE,649528788856,DDR4-3000,64 GB,3000,15-16-16,4
Crucial Ballistix Sport LT series red,$318.35 USD,Crucial,BLS4K16G4D32AESE,649528789204,DDR4-3200,64 GB,3200,16-18-18,4
"Crucial Ballistix Sport LT Series red, DDR4-2400, CL16 - 16 GB Kit",$71.64 USD,Crucial,BLS4C4G4D240FSE,649528777287,DDR4-2400,16 GB,2400,16,4
Crucial Ballistix Sport LT Series white,$18.36 USD,Crucial,BLS4G4D240FSC,649528774231,DDR4-2400,4 GB,2400,16-16-16,1
Crucial Ballistix Sport LT series white,$37.3 USD,Crucial,BLS8G4D30AESCK,649528788689,DDR4-3000,8 GB,3000,15-16-16,1
Crucial Ballistix Sport LT series white,$37.57 USD,Crucial,BLS8G4D32AESCK,649528789044,DDR4-3200,8 GB,3200,16-18-18,1
Crucial Ballistix Sport LT Series white,$61.92 USD,Crucial,BLS16G4D240FSC,649528774255,DDR4-2400,16 GB,2400,16-16-16,1
Crucial Ballistix Sport LT Series white,$64.79 USD,Crucial,BLS16G4D26BFSC,649528782212,DDR4-2666,16 GB,2666,16-18-18,1
Crucial Ballistix Sport LT series white,$73.03 USD,Crucial,BLS16G4D32AESC,649528789051,DDR4-3200,16 GB,3200,16-18-18,1
Crucial Ballistix Sport LT series white,$74.74 USD,Crucial,BLS16G4D30AESC,649528788696,DDR4-3000,16 GB,3000,15-16-16,1
Crucial Ballistix Sport LT series white,$75.92 USD,Crucial,BLS2K8G4D30AESCK,649528788702,DDR4-3000,16 GB,3000,15-16-16,2
Crucial Ballistix Sport LT series white,$144.34 USD,Crucial,BLS4K8G4D30AESCK,649528788719,DDR4-3000,32 GB,3000,15-16-16,4
Crucial Ballistix Sport LT series white,$149.42 USD,Crucial,BLS2K16G4D30AESC,649528788726,DDR4-3000,32 GB,3000,15-16-16,2
Crucial Ballistix Sport LT series white,$247.43 USD,Crucial,BLS4K16G4D30AESC,649528788733,DDR4-3000,64 GB,3000,15-16-16,4
Crucial Ballistix Sport LT Series white DDR4-2400,$40.19 USD,Crucial,BLS2K4G4D240FSC,649528774262,DDR4-2400,8 GB,2400,16-16-16,2
Crucial Ballistix Sport LT Series white DDR4-2400,$120.33 USD,Crucial,BLS2K8G4D240FSC,649528774279,DDR4-2400,16 GB,2400,16-16-16,2
Crucial Ballistix Sport LT Series white DDR4-2400,$127.19 USD,Crucial,BLS2K16G4D240FSC,649528774286,DDR4-2400,32 GB,2400,16-16-16,2
Crucial Ballistix Tactical Tracer RGB,$56.76 USD,Crucial,BLT8G4D32AET4K,649528789341,DDR4-3200,8 GB,3200,16-18-18,1
Crucial Ballistix Tactical Tracer RGB,$141.18 USD,Crucial,BLT4C8G4D26BFT4K,649528785602,DDR4-2666,32 GB,2666,16-18-18,4
Crucial Ballistix Tactical Tracer RGB,$141.18 USD,Crucial,BLT4K8G4D26BFT4K,649528785626,DDR4-2666,32 GB,2666,16-18-18,4
"Crucial Ballistix Tactical, DDR4-3000, CL15 - 8 GB Kit",$65.28 USD,Crucial,BLT2C4G4D30AETA,649528778789,DDR4-3000,8 GB,3000,16,2
Crucial Value Series DDR4-2400,$15.99 USD,Crucial,CT4G4DFS824A,649528769817,DDR4-2400,4 GB,2400,17-17-17,1
G.Skill Ripjaws V DDR4-2400 16GB,$50.77 USD,G.Skill,F4-2400C15D-16GVR,848354013198,DDR4-2400,16 GB,2400,15-15-15-35-2N,2
G.Skill Ripjaws V DDR4-2400 32GB,$87.04 USD,G.Skill,F4-2400C15D-32GVR,848354013273,DDR4-2400,32 GB,2400,15-15-15-35-2N,2
G.Skill Ripjaws V DDR4-2400 8GB,$42.9 USD,G.Skill,F4-2400C15D-8GVR,848354013112,DDR4-2400,8 GB,2400,15-15-15-35-2N,2
G.Skill Ripjaws V DDR4-3000 16GB,$79.78 USD,G.Skill,F4-3000C15D-16GVKB,4719692004574,DDR4-3000,16 GB,3000,15-16-16-35-2N,2
G.Skill Ripjaws V DDR4-3000 32GB,$164.65 USD,G.Skill,F4-3000C15Q-32GVR,4719692004352,DDR4-3000,32 GB,3000,15-15-15-35-2N,4
G.Skill Ripjaws V DDR4-3200 32GB,$208.9 USD,G.Skill,F4-3200C15Q-32GVR,848354019466,DDR4-3200,32 GB,3200,15-15-15-35-2N,4
G.Skill RipJaws V Series,$119.68 USD,G.Skill,F4-3000C15D-32GVR,4719692004390,DDR4-3000,32 GB,3000,15-15-15-35,2
G.Skill Sniper X Series,$156.67 USD,G.Skill,F4-3200C16Q-32GSXFB,4719692019660,DDR4-3200,32 GB,3200,16-18-18-38,4
G.Skill Sniper X Series,$170.37 USD,G.Skill,F4-3200C16Q-32GSXWB,4719692019646,DDR4-3200,32 GB,3200,16-18-18-38,4
G.Skill Sniper X Series,$175.19 USD,G.Skill,F4-3200C16Q-32GSXKB,4719692019653,DDR4-3200,32 GB,3200,16-18-18-38,4
G.Skill Trident Z RGB DDR4-2400 16GB,$93.47 USD,G.Skill,F4-2400C15D-16GTZR,848354025115,DDR4-2400,16 GB,2400,15-15-15-35-2N,2
G.Skill Trident Z RGB DDR4-2400 32GB,$199.85 USD,G.Skill,F4-2400C15Q-32GTZR,848354025122,DDR4-2400,32 GB,2400,15-15-15-35-2N,4
G.Skill Trident Z RGB DDR4-3200 32GB,$137.81 USD,G.Skill,F4-3200C16Q-32GTZR,848354024989,DDR4-3200,32 GB,3200,16-18-18-38,4
G.Skill Trident Z RGB DDR4-3866 16GB,$159.03 USD,G.Skill,F4-3866C18D-16GTZR,848354024941,DDR4-3866,16 GB,3866,18-19-19-39-2N,2
G.Skill Trident Z RGB Series,$108.07 USD,G.Skill,F4-3000C16D-16GTZR,4719692015457,DDR4-3000,16 GB,3000,16-18-18-38,2
"HyperX Fury Series, DDR4-2666, CL15 - 8 GB Kit",$58.33 USD,HyperX,HX426C15FBK2/8,740617244380,DDR4-2666,8 GB,2666,15-17-17,2
Kingston Fury Beast,$53.66 USD,Kingston,KF436C17BBK2/16,740617319781,DDR4-3600,16 GB,3600,CL17-21-21,2
Kingston Fury Beast,$166.1 USD,Kingston,KF436C18BBK2/64,740617319729,DDR4-3600,64 GB,3600,18-22-22,2
Kingston Fury Beast RGB,$86.31 USD,Kingston,KF436C18BBAK2/32,740617319057,DDR4-3600,32 GB,3600,18-22-22,2
Kingston Fury Beast RGB,$158.12 USD,Kingston,KF436C18BBAK2/64,740617319019,DDR4-3600,64 GB,3600,18-22-22,2
Kingston Fury Renegade,$92.6 USD,Kingston,KF436C16RBK2/16,740617322484,DDR4-3600,16 GB,3600,16-20-20,2
Kingston HyperX Predator,$505.49 USD,Kingston,HX430C15PB3K4/64,740617258479,DDR4-3000,64 GB,3000,15-17-17,4
Kingston Server DIMM,$114.04 USD,Kingston,KSM26RD8/16HAI,740617270860,DDR4-2666,16 GB,2666,19-19-19,1
Thermaltake Toughram RGB DDR4-3000 CL16 - 16 GB Dual-Kit,$98.54 USD,Thermaltake,R009D408GX2-3000C16B,4713227522052,DDR4-3000,16 GB,3000,16-18-18-38,2
Thermaltake Toughram RGB DDR4-4400 CL19- 16 GB Dual-Kit,$156.51 USD,Thermaltake,R009D408GX2-4400C19A,4713227523080,DDR4-4400,16 GB,4400,19-25-25-45,2
